country,mention_count,frequency_score,context_score,goods_score,diversity_score,sector_score,final_risk_score
El Salvador,3,0.02830188679245283,0.7333333333333334,0.031746031746031744,0.2,0.3333333333333333,0.3541000299490865
Saudi Arabia,8,0.07547169811320754,0.65,0.09523809523809523,0.5333333333333333,0.2,0.3521900269541779
Hungary,10,0.09433962264150944,0.5599999999999999,0.15873015873015872,0.6,0.23333333333333336,0.3517831686133573
Egypt,7,0.0660377358490566,0.6857142857142857,0.12698412698412698,0.5333333333333333,0.1,0.35168313866427076
Israel,14,0.1320754716981132,0.5571428571428572,0.16666666666666666,0.6666666666666666,0.1631578947368421,0.34917245945051306
Jordan,6,0.05660377358490566,0.7166666666666667,0.10317460317460317,0.4666666666666667,0.1,0.3489540281521414
Guernsey,4,0.03773584905660377,0.75,0.06349206349206349,0.4666666666666667,0.1,0.3488132674453429
Guinea,4,0.03773584905660377,0.8,0.031746031746031744,0.3333333333333333,0.1,0.34504342617550166
Latvia,5,0.04716981132075472,0.74,0.09523809523809523,0.3333333333333333,0.10000000000000002,0.3408598382749326
Costa Rica,10,0.09433962264150944,0.61,0.1349206349206349,0.5333333333333333,0.13636363636363635,0.3372701816003703
Albania,2,0.018867924528301886,0.8,0.031746031746031744,0.26666666666666666,0.1,0.3364899670560048
Dominican Republic,10,0.09433962264150944,0.61,0.11904761904761904,0.4666666666666667,0.18181818181818182,0.33572617005635874
Oman,5,0.04716981132075472,0.7,0.0873015873015873,0.3333333333333333,0.15,0.3348757112908056
Mozambique,2,0.018867924528301886,0.8,0.015873015873015872,0.26666666666666666,0.10000000000000002,0.3325217130877508
Mali,2,0.018867924528301886,0.8,0.015873015873015872,0.26666666666666666,0.10000000000000002,0.3325217130877508
Tunisia,4,0.03773584905660377,0.675,0.06349206349206349,0.4666666666666667,0.13333333333333333,0.3292299341120096
Montenegro,2,0.018867924528301886,0.8,0.015873015873015872,0.2,0.10000000000000002,0.32585504642108415
Burkina Faso,2,0.018867924528301886,0.8,0.03968253968253968,0.13333333333333333,0.1,0.3251407607067984
Uruguay,4,0.03773584905660377,0.675,0.0873015873015873,0.3333333333333333,0.13999999999999999,0.32318231506439055
Luxembourg,4,0.03773584905660377,0.675,0.031746031746031744,0.4666666666666667,0.13999999999999999,0.322626759508835
Benin,2,0.018867924528301886,0.8,0.015873015873015872,0.13333333333333333,0.1,0.31918837975441744
Antarctica,1,0.009433962264150943,0.8,0.015873015873015872,0.13333333333333333,0.1,0.31824498352800235
Mauritius,4,0.03773584905660377,0.675,0.07142857142857142,0.4,0.1,0.3178807277628033
Serbia,4,0.03773584905660377,0.675,0.05555555555555555,0.4,0.10000000000000002,0.31391247379454923
Senegal,3,0.02830188679245283,0.7000000000000001,0.047619047619047616,0.3333333333333333,0.1,0.31306828391734054
Kuwait,4,0.03773584905660377,0.675,0.047619047619047616,0.3333333333333333,0.12000000000000002,0.3092616801437556
Papua New Guinea,3,0.02830188679245283,0.7333333333333334,0.031746031746031744,0.2,0.10000000000000002,0.3074333632824199
Zambia,6,0.05660377358490566,0.5499999999999999,0.031746031746031744,0.6,0.2,0.30609688529499846
Nepal,2,0.018867924528301886,0.7,0.03968253968253968,0.26666666666666666,0.1,0.30347409404013176
Rwanda,3,0.02830188679245283,0.7000000000000001,0.023809523809523808,0.26666666666666666,0.1,0.3004492362982929
Lithuania,5,0.04716981132075472,0.5599999999999999,0.06349206349206349,0.4,0.21666666666666667,0.29992333033842467
Qatar,7,0.0660377358490566,0.5,0.07142857142857142,0.5333333333333333,0.14444444444444446,0.28168313866427075
Belize,3,0.02830188679245283,0.5666666666666667,0.031746031746031744,0.26666666666666666,0.19999999999999998,0.2757666966157532
Burundi,2,0.018867924528301886,0.55,0.03968253968253968,0.2,0.25,0.2743074273734651
Lebanon,3,0.02830188679245283,0.5666666666666667,0.06349206349206349,0.26666666666666666,0.125,0.26870320455226115
Kazakhstan,3,0.02830188679245283,0.5666666666666667,0.07936507936507936,0.26666666666666666,0.1,0.2676714585205151
Russian Federation,2,0.018867924528301886,0.55,0.023809523809523808,0.26666666666666666,0.2,0.26700584007187783
Monaco,2,0.018867924528301886,0.6,0.023809523809523808,0.26666666666666666,0.10000000000000002,0.26450584007187783
Myanmar,4,0.03773584905660377,0.44999999999999996,0.05555555555555555,0.3333333333333333,0.275,0.26349580712788256
Isle of Man,3,0.02830188679245283,0.5666666666666668,0.023809523809523808,0.3333333333333333,0.1,0.2604492362982929
Aruba,2,0.018867924528301886,0.55,0.023809523809523808,0.2,0.2,0.2603391734052112
Cayman Islands,5,0.04716981132075472,0.48,0.07936507936507936,0.4,0.13333333333333333,0.25922491764001193
Belarus,5,0.04716981132075472,0.48,0.06349206349206349,0.4,0.13333333333333333,0.255256663671758
Bermuda,3,0.02830188679245283,0.5666666666666667,0.047619047619047616,0.2,0.10000000000000002,0.25306828391734054
Trinidad and Tobago,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Barbados,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Grenada,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Jamaica,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Malta,1,0.009433962264150943,0.6,0.007936507936507936,0.13333333333333333,0.1,0.24626085654387542
Bahrain,5,0.04716981132075472,0.38,0.06349206349206349,0.4,0.11666666666666668,0.21692333033842467
